Exporting 96.120.37.81...
1: 10.1.10.1 (6ms)  10.1.10.1 (4ms)  10.1.10.1 (4ms)
2: 96.120.37.81 (44ms)  *  96.120.37.81 (18ms)
source,destination,trace,ttl,query,query_result,addr,rtt,hop_mean_ms,hop_median_ms,city,country,country_code,country_code_iso3,country_capital,region,region_code,latitude,longitude,timezone,utc_offset,asn,org
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,4,3,success,96.108.23.141,13,13,13,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,5,1,success,68.86.165.113,18,15,14,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,5,2,success,68.86.165.113,13,15,14,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,5,3,success,68.86.165.113,14,15,14,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,6,1,success,96.110.5.142,25,18,14,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,6,2,success,96.110.5.142,14,18,14,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,6,3,success,96.110.5.142,13,18,14,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,7,1,success,96.110.45.65,14,15,14,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,7,2,success,96.110.45.69,14,15,14,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,7,3,success,96.110.45.65,15,15,14,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,8,1,timeout,,,19,19,,,,,,,,,,,,,
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,8,2,success,96.110.33.166,23,19,19,Los Angeles,United States,US,USA,Washington,California,CA,,,America/Los_Angeles,-0700,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,bdff5d4f-2bad-4d00-bc43-687436dd076c,8,3,success,96.110.33.170,15,19,19,Los Angeles,United States,US,USA,Washington,California,CA,,,America/Los_Angeles,-0700,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,1,1,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,1,2,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,1,3,success,10.1.10.1,4,4,4,,,,,,,,,,,,,
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,2,1,success,96.120.37.81,11,11,11,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,2,2,success,96.120.37.81,11,11,11,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,2,3,success,96.120.37.81,13,11,11,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,3,1,success,96.110.138.53,11,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,3,2,success,96.110.138.53,11,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,3,3,success,96.110.138.53,10,11,11,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,4,1,success,96.108.23.141,12,12,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,4,2,success,96.108.23.141,12,12,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,4,3,success,96.108.23.141,11,12,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,5,1,success,68.86.165.113,17,15,15,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,5,2,success,68.86.165.113,14,15,15,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,5,3,success,68.86.165.113,15,15,15,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,6,1,success,96.110.5.142,12,15,16,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,6,2,success,96.110.5.142,16,15,16,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,6,3,success,96.110.5.142,17,15,16,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,7,1,success,96.110.45.65,25,23,25,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,7,2,success,96.110.45.73,16,23,25,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,7,3,success,96.110.45.69,29,23,25,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,8,1,success,96.110.33.170,14,17,14,Los Angeles,United States,US,USA,Washington,California,CA,34.0544,-118.244,America/Los_Angeles,-0700,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,8,2,success,96.110.33.166,21,17,14,Los Angeles,United States,US,USA,Washington,California,CA,,,America/Los_Angeles,-0700,AS7922,COMCAST-7922
10.1.10.58,96.110.33.170,daab99c8-9368-450d-9b11-62406df3b8e6,8,3,success,96.110.33.162,14,17,14,Los Angeles,United States,US,USA,Washington,California,CA,,,America/Los_Angeles,-0700,AS7922,COMCAST-7922
Exporting 96.110.33.146...
1: 10.1.10.1 (5ms)  10.1.10.1 (4ms)  10.1.10.1 (4ms)
2: 96.120.37.81 (16ms)  96.120.37.81 (12ms)  96.120.37.81 (12ms)
3: 96.110.138.113 (13ms)  96.110.138.113 (22ms)  96.110.138.113 (14ms)
4: 68.87.162.2 (11ms)  68.87.162.2 (14ms)  68.87.162.2 (12ms)
5: 96.108.23.141 (13ms)  96.108.23.141 (11ms)  96.108.23.141 (24ms)
6: 68.86.165.113 (14ms)  68.86.165.113 (16ms)  68.86.165.113 (13ms)
7: 96.110.5.142 (26ms)  96.110.5.142 (20ms)  96.110.5.142 (16ms)
8: 96.110.45.77 (19ms)  96.110.45.65 (15ms)  96.110.45.77 (18ms)
9: *  96.110.33.154 (22ms)  96.110.33.146 (16ms)
source,destination,trace,ttl,query,query_result,addr,rtt,hop_mean_ms,hop_median_ms,city,country,country_code,country_code_iso3,country_capital,region,region_code,latitude,longitude,timezone,utc_offset,asn,org
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,1,1,success,10.1.10.1,4,7,7,,,,,,,,,,,,,
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,1,2,timeout,,,7,7,,,,,,,,,,,,,
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,1,3,success,10.1.10.1,11,7,7,,,,,,,,,,,,,
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,2,1,success,96.120.37.81,12,13,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,2,2,success,96.120.37.81,13,13,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,2,3,success,96.120.37.81,12,13,12,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,3,1,success,96.110.138.113,11,12,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,3,2,success,96.110.138.113,12,12,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,3,3,success,96.110.138.113,14,12,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,4,1,success,68.87.162.2,12,11,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,4,2,success,68.87.162.2,10,11,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,4,3,success,68.87.162.2,12,11,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,5,1,success,96.108.23.141,10,12,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,5,2,success,96.108.23.141,12,12,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,5,3,success,96.108.23.141,12,12,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,6,1,success,68.86.165.113,13,14,14,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,6,2,success,68.86.165.113,17,14,14,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,6,3,success,68.86.165.113,14,14,14,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,7,1,success,96.110.5.142,15,15,15,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,7,2,success,96.110.5.142,15,15,15,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,7,3,success,96.110.5.142,14,15,15,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,8,1,success,96.110.45.77,18,16,18,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,8,2,success,96.110.45.77,13,16,18,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,8,3,success,96.110.45.73,18,16,18,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,9,1,success,96.110.33.146,17,16,16,Los Angeles,United States,US,USA,Washington,California,CA,34.0544,-118.244,America/Los_Angeles,-0700,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,9,2,success,96.110.33.150,14,16,16,Los Angeles,United States,US,USA,Washington,California,CA,34.0544,-118.244,America/Los_Angeles,-0700,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,48d00bf3-df0b-49d3-8aca-26c0f99996d4,9,3,timeout,,,16,16,,,,,,,,,,,,,
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,1,1,success,10.1.10.1,6,4,3,,,,,,,,,,,,,
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,1,2,success,10.1.10.1,3,4,3,,,,,,,,,,,,,
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,1,3,success,10.1.10.1,3,4,3,,,,,,,,,,,,,
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,2,1,success,96.120.37.81,12,11,11,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,2,2,success,96.120.37.81,11,11,11,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,2,3,success,96.120.37.81,11,11,11,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,3,1,success,96.110.138.113,17,14,15,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,3,2,success,96.110.138.113,15,14,15,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,3,3,success,96.110.138.113,12,14,15,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,4,1,success,68.87.162.2,15,13,13,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,4,2,success,68.87.162.2,13,13,13,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,4,3,success,68.87.162.2,11,13,13,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,5,1,success,96.108.23.141,12,11,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,5,2,success,96.108.23.141,12,11,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,5,3,success,96.108.23.141,11,11,12,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.110.33.146,78ba2988-3834-4e8a-8c5c-9304870ab49b,6,1,success,68.86.165.113,12,14,14,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
